yrwk	sabohem	unvacc	vacc
2021-1	1499	1499	0
2021-2	1308	1308	0
2021-3	1001	1001	0
2021-4	640	640	0
2021-5	499	496	3
2021-6	361	350	11
2021-7	290	255	35
2021-8	275	252	23
2021-9	236	199	37
2021-10	235	203	32
2021-11	243	191	52
2021-12	230	169	61
2021-13	200	124	76
2021-14	194	127	67
2021-15	227	121	106
2021-16	212	83	129
2021-17	146	74	72
2021-18	155	63	92
2021-19	143	48	95
2021-20	86	28	58
2021-21	45	13	32
2021-22	46	17	29
2021-23	35	15	20
2021-24	17	6	11
2021-25	16	4	12
2021-26	24	3	21
2021-27	12	1	11
2021-28	15	3	12
2021-29	13	4	9
2021-30	21	2	19
2021-31	24	2	22
2021-32	36	2	34
2021-33	70	7	63
2021-34	89	14	75
2021-35	104	8	96
2021-36	181	19	162
2021-37	144	13	131
2021-38	121	24	97
2021-39	170	16	154
2021-40	116	12	104
2021-41	82	10	72
2021-42	119	11	108
2021-43	81	11	70
2021-44	77	17	60
2021-45	104	15	89
2021-46	84	12	72
2021-47	82	11	71
2021-48	107	25	82
2021-49	114	20	94
2021-50	146	29	117
2021-51	196	37	159
2021-52	576	57	519
2022-1	1291	128	1163
2022-2	2206	244	1962
2022-3	3014	281	2733
2022-4	3350	299	3051
2022-5	3611	286	3325
2022-6	3521	265	3256
2022-7	2890	196	2694
2022-8	2487	137	2350
2022-9	2098	106	1992
2022-10	1832	106	1726
2022-11	1301	65	1236
2022-12	962	48	914
2022-13	711	46	665
2022-14	621	42	579
2022-15	430	36	394
2022-16	359	26	333
2022-17	314	26	288
2022-18	246	23	223
2022-19	213	15	198
2022-20	171	18	153
2022-21	187	9	178
2022-22	162	9	153
2022-23	153	9	144
2022-24	210	15	195
2022-25	426	26	400
2022-26	621	29	592
2022-27	698	48	650
2022-28	828	56	772
2022-29	1048	55	993
2022-30	1020	48	972
2022-31	1175	81	1094
2022-32	1144	50	1094
2022-33	977	48	929
2022-34	657	21	636
2022-35	688	44	644
2022-36	803	55	748
2022-37	962	51	911
2022-38	956	50	906
2022-39	901	52	849
2022-40	870	32	838
2022-41	599	37	562
2022-42	679	39	640
2022-43	743	31	712
2022-44	684	36	648
2022-45	869	44	825
2022-46	809	50	759
2022-47	953	57	896
2022-48	1651	93	1558
2022-49	2295	106	2189
2022-50	3027	137	2890
2022-51	3562	163	3399
2022-52	2847	120	2727
2023-1	1738	77	1661
2023-2	1187	61	1126
2023-3	543	23	520
2023-4	380	15	365
