WHOREGION	ITZ	COUNTRY/AREA/TERRITORY	COUNTRY_CODE	ORIGIN_SOURCE	ISO_YEAR	ISO_WEEK	ISO_SDATE	SPEC_RECEIVED_NB	SPEC_PROCESSED_NB	AH1	AH1N12009	AH3	AH5	ANOTSUBTYPED	INF_A	BVIC	BYAM	BNOTDETERMINED	INF_B	INF_ALL	INF_NEGATIVE	ILI_ACTIVITY
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2021	40	2021-10-03T22:00:00.000Z		8451	0	0	4		1	5	0	0	0	0	5		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2021	41	2021-10-10T22:00:00.000Z		6994	0	0	4		2	6	0	0	1	1	7		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2021	42	2021-10-17T22:00:00.000Z		9325	0	0	6		3	9	0	0	0	0	9		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2021	43	2021-10-24T22:00:00.000Z		9761	0	1	13		7	21	0	0	1	1	22		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2021	44	2021-10-31T23:00:00.000Z		9461	0	1	18		5	24	0	0	0	0	24		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2021	45	2021-11-07T23:00:00.000Z		9863	0	0	41		23	64	0	0	1	1	65		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2021	46	2021-11-14T23:00:00.000Z		10247	0	0	38		56	94	0	0	6	6	100		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2021	47	2021-11-21T23:00:00.000Z		11618	0	0	48		140	188	0	0	2	2	190		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2021	48	2021-11-28T23:00:00.000Z		13166	0	0	78		462	540	0	0	0	0	540		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2021	49	2021-12-05T23:00:00.000Z		17634	0	0	127		1638	1765	0	0	4	4	1769		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2021	50	2021-12-12T23:00:00.000Z		20478	0	0	133		2325	2458	1	0	7	8	2466		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2021	51	2021-12-19T23:00:00.000Z		15831	0	0	128		1720	1848	1	0	2	3	1851		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2021	52	2021-12-26T23:00:00.000Z		17668	0	0	109		1693	1802	0	0	15	15	1817		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	1	2022-01-02T23:00:00.000Z		22926	0	0	36		862	898	0	0	10	10	908		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	2	2022-01-09T23:00:00.000Z		28279	0	0	19		312	331	0	0	12	12	343		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	3	2022-01-16T23:00:00.000Z		28507	0	0	10		118	128	0	0	9	9	137		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	4	2022-01-23T23:00:00.000Z		23270	0	0	2		54	56	0	0	1	1	57		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	5	2022-01-30T23:00:00.000Z		21706	0	0	5		21	26	1	0	3	4	30		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	6	2022-02-06T23:00:00.000Z		16969	0	0	2		14	16	0	0	2	2	18		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	7	2022-02-13T23:00:00.000Z		13279	0	0	3		12	15	0	0	2	2	17		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	8	2022-02-20T23:00:00.000Z		11914	0	0	1		19	20	1	0	1	2	22		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	9	2022-02-27T23:00:00.000Z		11010	0	0	6		24	30	1	0	2	3	33		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	10	2022-03-06T23:00:00.000Z		9775	0	2	4		38	44	0	0	1	1	45		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	11	2022-03-13T23:00:00.000Z		9136	0	0	14		78	92	0	0	2	2	94		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	12	2022-03-20T23:00:00.000Z		8632	0	2	12		97	111	0	0	5	5	116		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	13	2022-03-27T22:00:00.000Z		8372	0	1	21		164	186	5	0	3	8	194		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	14	2022-04-03T22:00:00.000Z		8173	0	2	30		300	332	1	0	5	6	338		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	15	2022-04-10T22:00:00.000Z		7512	0	0	43		355	398	0	0	9	9	407		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	16	2022-04-17T22:00:00.000Z		7511	0	2	33		420	455	1	0	2	3	458		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	17	2022-04-24T22:00:00.000Z		7053	0	0	53		315	368	0	0	1	1	369		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	18	2022-05-01T22:00:00.000Z		7016	0	0	38		278	316	1	0	6	7	323		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	19	2022-05-08T22:00:00.000Z		7030	0	1	14		253	268	0	0	3	3	271		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	20	2022-05-15T22:00:00.000Z		6854	0	0	9		227	236	0	0	6	6	242		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	21	2022-05-22T22:00:00.000Z		0	0	1	33		163	197	1	0	10	11	208		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	22	2022-05-29T22:00:00.000Z		0	0	1	12		101	114	1	0	10	11	125		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	23	2022-06-05T22:00:00.000Z		0	0	0	6		128	134	1	0	5	6	140		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	24	2022-06-12T22:00:00.000Z		0	0	0	15		109	124	0	0	4	4	128		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	25	2022-06-19T22:00:00.000Z		0		0	5		65	70	0	0	2	2	72		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	26	2022-06-26T22:00:00.000Z		0		0	4		24	28	0	0	3	3	31		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	27	2022-07-03T22:00:00.000Z		0		1	1		19	21	0	0	6	6	27		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	28	2022-07-10T22:00:00.000Z		0		1	1		14	16	0	0	3	3	19		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	29	2022-07-17T22:00:00.000Z		0		0	1		13	14	0	0	2	2	16		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	30	2022-07-24T22:00:00.000Z		0		1	1		10	12	0	0	1	1	13		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	31	2022-07-31T22:00:00.000Z		0		4	1		23	28	0	0	2	2	30		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	32	2022-08-07T22:00:00.000Z		0		0	8		16	24	1	0	2	3	27		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	33	2022-08-14T22:00:00.000Z		0		0	2		20	22	2	0	5	7	29		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	34	2022-08-21T22:00:00.000Z		0		3	4		28	35	0	0	2	2	37		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	35	2022-08-28T22:00:00.000Z		0		1	0		15	16	1	0	2	3	19		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	36	2022-09-04T22:00:00.000Z		0		0	1		11	12	0	0	2	2	14		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	37	2022-09-11T22:00:00.000Z		0		0	1		11	12	0	0	1	1	13		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	38	2022-09-18T22:00:00.000Z		0		1	4		8	13	0	0	3	3	16		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	39	2022-09-25T22:00:00.000Z		0		1	2		14	17	0	0	2	2	19		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	40	2022-10-02T22:00:00.000Z		7211		0	1		8	9	0	0	1	1	10		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	41	2022-10-09T22:00:00.000Z		7002		7	1		19	27	0	0	1	1	28		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	42	2022-10-16T22:00:00.000Z		6823		0	3		13	16	0	0	2	2	18		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	43	2022-10-23T22:00:00.000Z		7605		5	2		25	32	0	0	1	1	33		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	44	2022-10-30T23:00:00.000Z		7733		5	5		19	29	1	0	3	4	33		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	45	2022-11-06T23:00:00.000Z		7909		6	6		31	43	0	0	3	3	46		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	46	2022-11-13T23:00:00.000Z		7796		7	9		39	55	0	0	3	3	58		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	47	2022-11-20T23:00:00.000Z		9053		23	17		105	145	1	0	4	5	150		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	48	2022-11-27T23:00:00.000Z		10428		28	21		307	356	1	0	5	6	362		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	49	2022-12-04T23:00:00.000Z		14616		54	44		632	730	7	0	19	26	756		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	50	2022-12-11T23:00:00.000Z		18046		81	73		1338	1492	5	0	35	40	1532		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	51	2022-12-18T23:00:00.000Z		20451		72	70		2304	2446	7	0	69	76	2522		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2022	52	2022-12-25T23:00:00.000Z		18784		88	99		3006	3193	8	0	105	113	3306		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2023	1	2023-01-01T23:00:00.000Z		17642		74	81		1828	1983	10	0	94	104	2087		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2023	2	2023-01-08T23:00:00.000Z		15701		67	41		991	1099	6	0	108	114	1213		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2023	3	2023-01-15T23:00:00.000Z		11886		51	34		511	596	16	0	53	69	665		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2023	4	2023-01-22T23:00:00.000Z		10991		58	45		572	675	16	0	100	116	791		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2023	5	2023-01-29T23:00:00.000Z		10652		44	26		696	766	26	0	165	191	957		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2023	6	2023-02-05T23:00:00.000Z		10333		50	45		680	775	28	0	233	261	1036		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2023	7	2023-02-12T23:00:00.000Z		8758		43	37		600	680	36	0	269	305	985		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2023	8	2023-02-19T23:00:00.000Z		7559		37	41		440	518	42	0	299	341	859		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2023	9	2023-02-26T23:00:00.000Z		7209		14	10		418	442	12	0	362	374	816		1
EUR	FLU_NTH_EUR	Sweden	SWE	NONSENTINEL	2023	10	2023-03-05T23:00:00.000Z		7193		9	11		365	385	0	0	364	364	749		1
