x	mx	qx	lx	dx	ex
0	2.163369891920168e-3	2.1610323357748274e-3	1.0	2.1610323357748274e-3	81.34590121026464
1	2.023506399338988e-4	2.023301691142997e-4	0.9978389676642252	2.0189292707634092e-4	80.52099018994159
2	6.648991431112293e-5	6.64877039302544e-5	0.9976370747371488	6.633059845496863e-5	79.53718412694144
3	1.4673992793439095e-4	1.4672916242103117e-4	0.9975707441386938	1.4637271974319533e-4	78.54243947725531
4	1.2884003704151064e-4	1.2883173769858203e-4	0.9974243714189507	1.2849991499281932e-4	77.55389225949025
5	3.153803092303932e-5	3.153753360718425e-5	0.9972958715039578	3.145225206386218e-5	76.56382052540224
6	6.226843924157041e-5	6.2266500622665e-5	0.9972644192518939	6.20961655823097e-5	75.56621946635502
7	9.342374675936378e-5	9.341938296497551e-5	0.9972023230863116	9.315802571396338e-5	74.57089386821481
8	7.78440316980897e-5	7.784100196937735e-5	0.9971091650605978	7.76159764811662e-5	73.57781417190614
9	7.777017358302744e-5	7.776714960066568e-5	0.9970315490841166	7.753630163420794e-5	72.58350306501215
10	3.1140279172602783e-5	3.1139794321658505e-5	0.9969540127824824	3.1044942906198605e-5	71.58910922955418
11	6.125199068969742e-5	6.125011484396534e-5	0.9969229678395762	6.10616462707608e-5	70.5913229987304
12	4.563362285331833e-5	4.563258166330761e-5	0.9968619061933055	4.54893823414065e-5	69.59561636328272
13	1.237432327919567e-4	1.2373557707179755e-4	0.9968164168109641	1.233416545687461e-4	68.5987695185256
14	1.4069974674045586e-4	1.4068984922737822e-4	0.9966930751563954	1.402245984697252e-4	67.60719680182461
15	1.106081075742852e-4	1.1060199083583504e-4	0.9965528505579258	1.1022072924483299e-4	66.61663943170691
16	2.094105897324377e-4	2.0938866563046123e-4	0.9964426298286809	2.0864379263713513e-4	65.62395287253655
17	3.268401098182769e-4	3.26786706316787e-4	0.9962339860360437	3.255560230175627e-4	64.63759194599653
18	3.6093383426574576e-4	3.6086870940227025e-4	0.9959084300130262	3.5939218982164196e-4	63.6585581098833
19	5.996002664890073e-4	5.994205601252123e-4	0.9955490378232046	5.967525618841015e-4	62.681358285105944
20	5.413040352524253e-4	5.411575698642878e-4	0.9949522852613205	5.384259608229359e-4	61.718653425192294
21	5.683765327359808e-4	5.68215052685234e-4	0.9944138593004976	5.650409234533591e-4	60.75180030059278
22	7.067248798567704e-4	7.064752380429066e-4	0.9938488183770443	7.021295805415838e-4	59.78605574493407
23	5.892569160153827e-4	5.890833552947742e-4	0.9931466887965027	5.850461837361387e-4	58.8279694862995
24	5.35158277114686e-4	5.350151182302348e-4	0.9925616426127666	5.310354845732653e-4	57.862349775127925
25	6.29270771986156e-4	6.290728434092522e-4	0.9920306071281932	6.240595147751393e-4	56.89305592773069
26	6.540968519687555e-4	6.538830005626435e-4	0.9914065476134181	6.482638881309132e-4	55.928553598392305
27	5.9662057062496e-4	5.964426456491639e-4	0.9907582837252871	5.909304919439352e-4	54.964821102040176
28	6.748366895211359e-4	6.746090640473845e-4	0.9901673532333432	6.679758714150216e-4	53.997325631120404
29	5.819366852886406e-4	5.81767409389726e-4	0.9894993773619282	5.756584893605958e-4	53.03343977482213
30	6.247696162040247e-4	6.245745086160054e-4	0.9889237188725676	6.176565457735465e-4	52.0640198084532
31	6.878550591125441e-4	6.876185681571208e-4	0.9883060623267941	6.795775994781523e-4	51.09624550813788
32	5.228172380312197e-4	5.226806048161285e-4	0.987626484727316	5.162132083697004e-4	50.131060365370594
33	6.520946943785602e-4	6.518821499328944e-4	0.9871102715189463	6.434795660186139e-4	49.15701512406901
34	6.210318377917693e-4	6.208390573813801e-4	0.9864667919529276	6.124371132540896e-4	48.18875445400004
35	8.86597375671768e-4	8.862045223698472e-4	0.9858543548396735	8.736685876569267e-4	47.21837988798947
36	6.34084815736331e-4	6.338838476749553e-4	0.9849806862520166	6.243633472869462e-4	46.25981865074295
37	8.347481607243917e-4	8.343999038318755e-4	0.9843563229047297	8.213468211680052e-4	45.288843459015325
38	9.063068725834862e-4	9.058963625338799e-4	0.9835349760835618	8.909807572589451e-4	44.32624647476302
39	7.993072670352361e-4	7.98987948598442e-4	0.9826439953263028	7.851207100283397e-4	43.365984510570115
40	1.033816280358989e-3	1.0332821683950433e-3	0.9818588746162744	1.014537267021421e-3	42.40026130234241
41	1.107237442580761e-3	1.1066247943771496e-3	0.980844337349253	1.0854266631351087e-3	41.4436008772071
42	1.1227208766204605e-3	1.1220909791365885e-3	0.9797589106861179	1.0993786354095833e-3	40.48896027694531
43	1.1310114030738721e-3	1.130372171166219e-3	0.9786595320507082	1.1062495000766749e-3	39.53388193472409
44	1.1449094658918923e-3	1.1442544320265841e-3	0.9775532825506316	1.1185696761006959e-3	38.57805468023795
45	1.2906937867867168e-3	1.2898613787530305e-3	0.9764347128745309	1.2594654250106618e-3	37.621675576472605
46	9.319023794064851e-4	9.314683606156854e-4	0.9751752474495202	9.083448890547999e-4	36.66961923278393
47	1.446665288890201e-3	1.4456196250239707e-3	0.9742669025604654	1.4084193543527255e-3	35.70334149993968
48	1.391574383312826e-3	1.390606816900996e-3	0.9728584832061127	1.3528636386263835e-3	34.754305816294305
49	1.6916242534788621e-3	1.6901946663335269e-3	0.9715056195674864	1.642033616506014e-3	33.80200642025568
50	1.7896697912540892e-3	1.7880697640334166e-3	0.9698635859509803	1.7341837532759727e-3	32.858388590729206
51	2.195980012100298e-3	2.19357149252395e-3	0.9681294021977043	2.1236610577351376e-3	31.91635128832815
52	2.109753021303919e-3	2.107529837582755e-3	0.9660057411399691	2.0358859227287275e-3	30.985416801053187
53	2.1361694391418963e-3	2.1338902635581487e-3	0.9639698552172403	2.0570058884116275e-3	30.04980141907611
54	3.190280569880255e-3	3.1851997294761875e-3	0.9619128493288287	3.063884547461854e-3	29.112992295009253
55	3.314296281018186e-3	3.3088130875628396e-3	0.9588489647813668	3.172652003664667e-3	28.20442161095925
56	3.527713174159501e-3	3.5215017501011724e-3	0.9556763127777022	3.3654158079769137e-3	27.29639468548163
57	4.020331390173161e-3	4.012266070558565e-3	0.9523108969697253	3.820924700534822e-3	26.3910917120076
58	4.2050445570112754e-3	4.196221906966326e-3	0.9484899722691904	3.9800744001738594e-3	25.49539214188937
59	4.910087998979722e-3	4.89806303870742e-3	0.9445098978690165	4.62626902044555e-3	24.600720334437373
60	5.6706652126499455e-3	5.654632448890822e-3	0.9398836288485709	5.314696465868387e-3	23.719348228818536
61	6.182353450515196e-3	6.16330159607068e-3	0.9345689323827024	5.7600301925923815e-3	22.85139176642774
62	7.039725415685279e-3	7.0150334610115965e-3	0.92880890219011	6.515625527749069e-3	21.990004446729913
63	7.4138144075126654e-3	7.38643358365136e-3	0.9222932766623609	6.8124580327147185e-3	21.14182255611835
64	8.892215302094749e-3	8.852854557712096e-3	0.9154808186296463	8.104618537703464e-3	20.295426593494906
65	9.781568806273079e-3	9.73396209627191e-3	0.9073762000919428	8.832365538754206e-3	19.472237910912234
66	1.079287524384241e-2	1.0734944783941104e-2	0.8985438345531885	9.64581844987919e-3	18.658728245466374
67	1.1610345478572776e-2	1.1543334428229551e-2	0.8888980161033093	1.0260847072470276e-2	17.85577649258059
68	1.3025650805759511e-2	1.2941365948859815e-2	0.8786371690308391	1.1370765140698288e-2	17.05845966453287
69	1.4655809090821896e-2	1.4549193986079241e-2	0.8672664038901408	1.2618027147807007e-2	16.275558303535355
70	1.603803361477156e-2	1.5910447469103788e-2	0.8546483767423337	1.3597838102713724e-2	15.508468618891673
71	1.8438359676194796e-2	1.826992594329484e-2	0.8410505386396201	1.5365931055514094e-2	14.751120774824473
72	1.9958114981132438e-2	1.9760919628097198e-2	0.825684607584106	1.6316287168626493e-2	14.016333105632578
73	2.2738544885734995e-2	2.248293032554981e-2	0.8093683204154795	1.81969715556085e-2	13.288812725671459
74	2.3272685618282135e-2	2.3004991649131414e-2	0.791171348859871	1.820089027355337e-2	12.582955911890739
75	2.6206616445377095e-2	2.586766446489252e-2	0.7729704585863176	1.9994940463984964e-2	11.867469443151322
76	2.920472970300945e-2	2.878440925700365e-2	0.7529755181223327	2.1673955474137592e-2	11.169327696536197
77	3.481042042816611e-2	3.421490285157993e-2	0.731301562648195	2.5021411921216586e-2	10.485539975088312
78	3.726917374309206e-2	3.658738297661186e-2	0.7062801507269785	2.5840942363427113e-2	9.839298053543843
79	4.290765417185711e-2	4.200645495084875e-2	0.6804392083635513	2.8582838952914705e-2	9.193975238147747
80	5.1026067665002776e-2	4.9756625202812335e-2	0.6518563694106366	3.243417305883103e-2	8.57519187689484
81	5.410264237983786e-2	5.2677642551645566e-2	0.6194221963518056	3.262970104797563e-2	7.998024917688421
82	6.536918734214826e-2	6.330024456912674e-2	0.58679249530383	3.71441084640606e-2	7.414966704559376
83	7.337448559670783e-2	7.077784173233034e-2	0.5496483868397695	3.8902926532175884e-2	6.882265944308435
84	8.046410715970191e-2	7.735207435955564e-2	0.5107454603075936	3.9507220824518456e-2	6.368396203774097
85	9.546759083771052e-2	9.111817453549372e-2	0.4712382394830752	4.293836815301763e-2	5.8603851921095735
86	0.1039484033349064	9.881269252624339e-2	0.42829987133005754	4.232146349476658e-2	5.397780153508975
87	0.12271413014907438	0.11562002476561117	0.38597840783529097	4.462683307290751e-2	4.934808183482548
88	0.14249932909920388	0.1330215857375475	0.3413515747623835	4.540712776890125e-2	4.514595883751418
89	0.15788644361573612	0.14633433940220036	0.2959444469934822	4.330683515054072e-2	4.130560366565384
90	0.18741767546885782	0.17135975225096062	0.25263761184294153	4.3291918574680816e-2	3.752906652029317
91	0.2284594276754214	0.2050379960596679	0.20934569326826072	4.292382143144609e-2	3.4255957707408964
92	0.23982130165499035	0.214143245693563	0.16642187183681464	3.563811978953365e-2	3.1801705694609326
93	0.2711362412493269	0.23876704208654417	0.130783752047281	3.1226849629309297e-2	2.9105077735526166
94	0.31272465851905107	0.27043829654958035	9.955690241797169e-2	2.6923999099669062e-2	2.6665835648522545
95	0.3472292831723437	0.2958631145765649	7.263290331830262e-2	2.148939699649153e-2	2.469705721401663
96	0.36264929424538545	0.306985294117647	5.114350632181109e-2	1.5700304330408917e-2	2.297333532978
97	0.4267827980402831	0.35172723194257516	3.5443201991402176e-2	1.2466339327617456e-2	2.0934998459947796
98	0.4243421052631579	0.35006784260515605	2.2976862663784722e-2	8.043460742546077e-3	1.9580700046521555
99	0.45187165775401067	0.3685932388222465	1.4933401921238647e-2	5.504350980783711e-3	1.7434187754251325
100	0.6806039488966318	1.0	9.429050940454936e-3	9.429050940454936e-3	1.469283276450512
